50,60659;30,45436;shop;car;Авто Масло;;
50,44075;30,55263;leisure;ice_rink;Льодовий клуб «Піонер»;;
48,89283;22,40971;tourism;information;Malá Ubľa;;
49,06183;22,68685;tourism;information;Drogowskaz na skrzyżowaniu szlaków;;
49,06833;22,70036;tourism;information;Tablica informacyjna BdPN;;
49,0813;22,75399;tourism;information;Drogowskaz 1h30' Przełęcz Bukowska, 30' Przełęcz Goprowska;;
49,05209;22,77319;tourism;viewpoint;Punkt widokowy;;
56,17019;28,15136;tourism;attraction;Ņeverica / Няверыца / Неверица (LV / BY / RUS);;
55,68065;26,63042;tourism;viewpoint;Liudvinavas;;
48,80823;39,26803;shop;convenience;;;
48,651;39,5303;shop;convenience;;;
48,65625;39,40987;shop;convenience;керченская;керченская,36;
48,56989;39,3401;shop;bicycle;МТВ Луганск;;
48,65628;39,50288;shop;convenience;;;
49,79099;30,89211;shop;convenience;;;
48,29177;25,93442;tourism;museum;Художній музей;;
50,44353;30,48964;shop;supermarket;Фуршет;;
50,44135;30,49989;shop;kiosk;;;
50,45329;30,51831;tourism;hotel;Hyatt Regency Kiev;;
50,43293;30,54168;shop;supermarket;Велика Кишеня;;
